Designator,Mid X,Mid Y,Layer,Rotation
C1,60.3793mm,124.7837mm,Bottom,0
C2,62.9444mm,132.5499mm,Bottom,270
C3,62.9443mm,131.4409mm,Bottom,270
C4,96.2094mm,53.1367mm,Top,90
C5,97.4845mm,50.4538mm,Bottom,90
C6,89.2632mm,60.7568mm,Top,270
C7,97.3792mm,63.2285mm,Top,0
C8,96.3755mm,63.2285mm,Top,0
C9,61.4707mm,124.7836mm,Bottom,0
C10,71.0918mm,134.5184mm,Bottom,0
C11,18.6216mm,125.7120mm,Top,90
C12,18.6216mm,110.4690mm,Top,90
C13,9.4268mm,114.9394mm,Top,0
C14,9.0801mm,113.0090mm,Top,90
C15,9.0801mm,116.8190mm,Top,270
C16,9.0801mm,111.7390mm,Top,270
C17,108.0347mm,76.0456mm,Bottom,90
C18,108.0347mm,77.0339mm,Bottom,90
C19,87.1019mm,68.7996mm,Top,90
C20,86.7410mm,75.3110mm,Top,90
C21,87.0511mm,74.1934mm,Top,90
C22,88.8466mm,76.3797mm,Bottom,270
C23,88.8391mm,77.3680mm,Bottom,270
C24,91.2952mm,82.9310mm,Bottom,90
C25,87.0511mm,77.2160mm,Top,90
C26,86.7410mm,83.7946mm,Top,90
C27,87.0511mm,82.6516mm,Top,90
C28,87.0511mm,85.6906mm,Top,90
C29,86.7410mm,92.2245mm,Top,90
C30,87.0511mm,91.1202mm,Top,90
C31,90.8888mm,100.0300mm,Bottom,90
C32,87.0511mm,94.1250mm,Top,90
C33,86.7410mm,100.6348mm,Top,90
C34,87.0765mm,99.5172mm,Top,90
C35,87.6272mm,9.9676mm,Bottom,90
C36,87.6274mm,7.9356mm,Bottom,90
C37,91.9474mm,15.1393mm,Bottom,270
C38,94.1577mm,11.8618mm,Bottom,180
C39,87.1448mm,11.4916mm,Bottom,270
C40,75.1470mm,26.1816mm,Bottom,0
C41,76.2248mm,17.1224mm,Bottom,90
C42,76.0979mm,19.7251mm,Bottom,90
C43,76.0981mm,18.6506mm,Bottom,90
C44,69.8848mm,19.1663mm,Bottom,270
C45,69.8848mm,16.8999mm,Bottom,270
C46,69.9210mm,15.2609mm,Bottom,90
C47,80.5941mm,21.6558mm,Bottom,270
C48,82.0166mm,23.1836mm,Bottom,0
C49,80.5941mm,22.6583mm,Bottom,270
C50,90.1192mm,25.6413mm,Bottom,0
C51,91.9988mm,16.6370mm,Bottom,90
C52,91.9613mm,19.2171mm,Bottom,90
C53,91.9615mm,18.1496mm,Bottom,90
C54,83.8359mm,20.6301mm,Bottom,0
C55,50.6890mm,125.2431mm,Top,270
C56,86.0770mm,20.6301mm,Bottom,0
C57,87.7062mm,20.6756mm,Bottom,180
C58,50.6891mm,130.8453mm,Top,270
C59,96.2234mm,21.1986mm,Bottom,270
C60,97.6503mm,22.6756mm,Bottom,0
C61,96.2234mm,22.1999mm,Bottom,270
C62,61.7786mm,6.0706mm,Bottom,270
C63,67.3208mm,5.7150mm,Bottom,0
C64,50.6891mm,131.8431mm,Top,270
C65,50.6891mm,129.8496mm,Top,270
C66,50.2318mm,131.3179mm,Bottom,180
C67,51.2507mm,131.3177mm,Bottom,180
C68,52.2638mm,131.3227mm,Bottom,0
C69,54.9817mm,131.8768mm,Bottom,0
C70,40.3004mm,118.8211mm,Bottom,270
C71,46.5488mm,119.6138mm,Bottom,90
C72,46.5488mm,118.5376mm,Bottom,270
C73,28.2448mm,129.6431mm,Top,270
C74,16.7132mm,133.7818mm,Top,270
C75,50.6887mm,134.0432mm,Top,270
C76,50.6887mm,127.4932mm,Top,270
C77,25.2204mm,8.8460mm,Top,180
C78,27.4527mm,17.5422mm,Top,90
C79,27.4520mm,16.4784mm,Top,90
C80,58.7885mm,10.8969mm,Top,270
C81,58.7885mm,9.8931mm,Top,270
C82,23.9308mm,20.5357mm,Top,180
C83,27.3050mm,20.5486mm,Top,0
C84,76.2467mm,123.4441mm,Bottom,180
C85,20.8534mm,76.0984mm,Bottom,180
C86,11.9126mm,97.3074mm,Bottom,90
C87,74.6936mm,35.6363mm,Bottom,270
C88,82.0070mm,36.1481mm,Top,270
C89,74.2493mm,36.7296mm,Bottom,270
C90,74.6936mm,39.0795mm,Bottom,270
C91,74.2493mm,37.9812mm,Bottom,270
C92,82.0070mm,38.1255mm,Top,270
C93,82.1088mm,33.8836mm,Bottom,270
C94,68.8404mm,34.0868mm,Bottom,90
C95,82.1088mm,34.9199mm,Bottom,270
C96,68.8404mm,35.1231mm,Bottom,90
C97,82.1088mm,35.9529mm,Bottom,270
C98,68.8404mm,36.1551mm,Bottom,90
C99,68.4329mm,37.2740mm,Bottom,90
C100,68.8404mm,38.5154mm,Bottom,90
C101,76.9366mm,38.2778mm,Bottom,90
C102,82.5660mm,37.0626mm,Bottom,270
C103,82.1088mm,38.2126mm,Bottom,270
C104,68.8404mm,39.5478mm,Bottom,90
C105,74.6936mm,41.2773mm,Bottom,270
C106,76.9366mm,40.2840mm,Bottom,90
C107,74.2493mm,40.1828mm,Bottom,270
C108,82.2610mm,40.7671mm,Top,270
C109,82.0070mm,39.5231mm,Top,270
C110,59.9505mm,5.8348mm,Top,90
C111,61.4524mm,7.5565mm,Top,0
C112,62.3062mm,0.8890mm,Bottom,90
C113,62.3697mm,1.9812mm,Bottom,90
C114,62.4078mm,2.9741mm,Bottom,90
C115,50.5460mm,2.1844mm,Bottom,270
C116,86.0869mm,16.7592mm,Top,0
C117,87.7147mm,110.3075mm,Top,180
C118,87.3737mm,114.3889mm,Top,90
C119,86.7499mm,110.3075mm,Top,180
C120,83.0417mm,110.7350mm,Top,270
C121,83.0417mm,112.6908mm,Top,270
C122,83.0417mm,111.7129mm,Top,270
C123,43.6316mm,19.8675mm,Top,180
C124,89.9000mm,117.3628mm,Bottom,90
C125,93.8320mm,120.2662mm,Bottom,90
C126,42.5299mm,19.8675mm,Top,180
C127,86.6492mm,106.8988mm,Bottom,270
C128,86.9078mm,103.1332mm,Bottom,90
C129,87.4248mm,118.7735mm,Top,270
C130,89.9160mm,136.1824mm,Bottom,90
C131,87.2976mm,137.5893mm,Top,270
C132,79.2116mm,106.8593mm,Bottom,180
C134,85.7419mm,110.3075mm,Top,180
C135,80.1241mm,116.1007mm,Bottom,90
C136,87.4006mm,113.3602mm,Top,90
C137,87.3859mm,111.8600mm,Top,90
C138,86.6492mm,125.8236mm,Bottom,270
C139,86.9043mm,121.9800mm,Bottom,90
C140,83.0417mm,131.5152mm,Top,270
C141,83.0417mm,130.5500mm,Top,270
C142,93.8320mm,138.6840mm,Bottom,90
