Altium Designer Pick and Place Locations
C:\Users\eSpark Cons Group\Documents\GitHub\Melih-SoundSensor\anis-carrierboard\Design-Files\Carrier-Board-v1.0\Project Outputs for Carrier-Board-v1.0\Pick Place for Carrier_Board_v1.0.txt

========================================================================================================================
File Design Information:

Date:       12/06/24
Time:       15:45
Revision:   e2bcf78d62ac5b5c72b0a8b016a9a3cd20cb1a1b
Variant:    No variations
Units used: mm

Designator Center-Y(mm) Center-X(mm) Layer       Rotation Ref-X(mm)  Ref-Y(mm)  Pad-X(mm)  Pad-Y(mm)  
C1         60.3793mm    124.7837mm   BottomLayer 0        124.7838mm 60.3793mm  124.3138mm 60.3793mm  
C2         62.9444mm    132.5499mm   BottomLayer 270      132.5499mm 62.9444mm  132.5499mm 63.4143mm  
C3         62.9443mm    131.4409mm   BottomLayer 270      131.4409mm 62.9443mm  131.4409mm 63.4142mm  
C4         96.2094mm    53.1367mm    TopLayer    90       53.1368mm  96.2094mm  53.1367mm  95.7395mm  
C5         97.4845mm    50.4538mm    BottomLayer 90       50.4538mm  97.4845mm  50.4538mm  96.2145mm  
C6         89.2632mm    60.7568mm    TopLayer    270      60.7568mm  89.2632mm  60.7568mm  89.7331mm  
C7         97.3792mm    63.2285mm    TopLayer    0        63.2285mm  97.3792mm  62.7586mm  97.3792mm  
C8         96.3755mm    63.2285mm    TopLayer    0        63.2285mm  96.3755mm  62.7586mm  96.3755mm  
C9         61.4707mm    124.7836mm   BottomLayer 0        124.7837mm 61.4706mm  124.3137mm 61.4707mm  
C10        71.0918mm    134.5184mm   BottomLayer 0        134.5184mm 71.0918mm  133.2484mm 71.0918mm  
C11        18.6216mm    125.7120mm   TopLayer    90       125.7120mm 18.6216mm  125.7120mm 18.1517mm  
C12        18.6216mm    110.4690mm   TopLayer    90       110.4690mm 18.6216mm  110.4690mm 18.1517mm  
C13        9.4268mm     114.9394mm   TopLayer    0        114.9394mm 9.4268mm   114.4695mm 9.4268mm   
C14        9.0801mm     113.0090mm   TopLayer    90       113.0090mm 9.0801mm   113.0090mm 8.6102mm   
C15        9.0801mm     116.8190mm   TopLayer    270      116.8190mm 9.0801mm   116.8190mm 9.5500mm   
C16        9.0801mm     111.7390mm   TopLayer    270      111.7390mm 9.0801mm   111.7390mm 9.5500mm   
C17        108.0347mm   76.0456mm    BottomLayer 90       76.0456mm  108.0347mm 76.0456mm  107.5648mm 
C18        108.0347mm   77.0339mm    BottomLayer 90       77.0339mm  108.0347mm 77.0339mm  107.5648mm 
C19        87.1019mm    68.7996mm    TopLayer    90       68.7995mm  87.1020mm  68.7996mm  86.6320mm  
C20        86.7410mm    75.3110mm    TopLayer    90       75.3110mm  86.7410mm  75.3110mm  85.9790mm  
C21        87.0511mm    74.1934mm    TopLayer    90       74.1934mm  87.0512mm  74.1934mm  86.5812mm  
C22        88.8466mm    76.3797mm    BottomLayer 270      76.3797mm  88.8466mm  76.3797mm  89.3165mm  
C23        88.8391mm    77.3680mm    BottomLayer 270      77.3680mm  88.8391mm  77.3680mm  89.3090mm  
C24        91.2952mm    82.9310mm    BottomLayer 90       82.9310mm  91.2952mm  82.9310mm  90.0252mm  
